user_id,date,amount,category,description,account_balance
USER001,2024-01-01,-37.92,transport,Car Maintenance,1261.89
USER001,2024-01-01,-121.53,healthcare,Doctor Visit,1140.35
USER001,2024-01-02,-113.06,utilities,Internet,1027.29
USER001,2024-01-02,-65.26,gas,Shell Station,962.03
USER001,2024-01-02,-24.37,food,Pizza Hut,937.65
USER001,2024-01-03,-74.21,healthcare,Pharmacy,863.44
USER001,2024-01-03,-91.88,healthcare,Pharmacy,771.56
USER001,2024-01-04,-8.28,food,Starbucks,763.28
USER001,2024-01-04,-106.01,entertainment,Spotify,657.27
USER001,2024-01-04,-72.71,gas,Exxon,584.57
USER001,2024-01-04,-64.13,entertainment,Spotify,520.44
USER001,2024-01-05,-15.9,shopping,Target,504.53
USER001,2024-01-06,-137.89,shopping,Walmart,366.64
USER001,2024-01-06,-136.65,shopping,Amazon,229.99
USER001,2024-01-06,-16.72,food,Grocery Store,213.27
USER001,2024-01-06,-107.29,transport,Car Maintenance,105.98
USER001,2024-01-07,-96.6,shopping,Amazon,9.39
USER001,2024-01-07,-1834.77,rent,Monthly Rent,-1825.38
USER001,2024-01-07,-39.62,food,Grocery Store,-1865.0
USER001,2024-01-07,-100.54,transport,Parking,-1965.54
USER001,2024-01-08,-48.1,entertainment,Movie Theater,-2013.64
USER001,2024-01-09,-50.46,gas,Shell Station,-2064.09
USER001,2024-01-10,-142.35,entertainment,Netflix,-2206.44
USER001,2024-01-10,-149.94,healthcare,Pharmacy,-2356.38
USER001,2024-01-11,-75.46,gas,Shell Station,-2431.84
USER001,2024-01-11,-126.84,entertainment,Spotify,-2558.68
USER001,2024-01-12,-99.88,transport,Metro Card,-2658.57
USER001,2024-01-12,-67.97,gas,Exxon,-2726.53
USER001,2024-01-12,-949.25,rent,Apartment Rent,-3675.79
USER001,2024-01-12,-25.22,transport,Metro Card,-3701.0
USER001,2024-01-13,-64.54,entertainment,Spotify,-3765.54
USER001,2024-01-14,-196.97,utilities,Phone Bill,-3962.52
USER001,2024-01-14,-94.54,shopping,Walmart,-4057.06
USER001,2024-01-14,-38.65,food,McDonald's,-4095.71
USER001,2024-01-14,-103.82,healthcare,Pharmacy,-4199.53
USER001,2024-01-14,-69.9,gas,Exxon,-4269.43
USER001,2024-01-15,-1000.51,rent,Monthly Rent,-5269.94
USER001,2024-01-15,-29.44,food,McDonald's,-5299.38
USER001,2024-01-15,-11.27,food,Starbucks,-5310.65
USER001,2024-01-15,-36.91,food,Grocery Store,-5347.56
